id_municipio,id_municipio_tse
2512077,19526
2500700,19135
2503704,19755
2514503,21911
2503308,19674
2516805,22373
2504108,19836
2502409,19496
2509602,20931
2502201,19453
2513307,21679
2505501,20117
2508802,20770
2512101,21431
2513927,19402
2504504,19917
2503753,19380
2510907,21199
2513968,19429
2514206,21857
2513984,19860
2516201,22250
2500775,19844
2510006,21016
2509156,19461
2517209,19887
2508406,20699
2513208,21652
2514602,21938
2503407,19690
2510709,21156
2514404,21890
2501153,19909
2508703,20753
2513802,21776
2512606,21539
2510808,21172
2505907,20192
2510402,21091
2504207,19852
2504801,19976
2510204,21059
2511301,21270
2502607,19534
2500205,19038
2513604,21733
2507002,20419
2513356,19569
2506608,20338
2514305,21873
2505600,20133
2511004,21210
2513505,21717
2504405,19895
2502102,19437
2505303,20079
2515708,22152
2506707,20354
2509396,19984
2500106,19011
2505402,20095
2516706,22357
2503555,19364
2512309,21474
2514552,19445
2509008,20818
2516607,22330
2508000,20613
2507804,20575
2517100,22438
2513000,21610
2513406,21695
2514701,21954
2514909,21997
2505006,20010
2515401,22098
2516755,19682
2507705,20559
2506202,20257
2511103,21237
2511400,21296
2510303,21075
2501534,19305
2501351,19321
2516508,22314
2512200,21458
2514107,21830
2510600,21130
2517407,19348
2503902,19798
2509701,20958
2515203,22055
2510659,19720
2500734,19585
2508505,20710
2504850,19704
2516300,22276
2514800,21970
2515500,22110
2504702,19950
2500536,19763
2504355,19801
2501708,19356
2513943,19224
2512788,19828
2501575,19780
2503100,19631
2513851,19267
2504074,19240
2506509,20311
2502508,19518
2514008,21814
2500908,19178
2510501,21113
2512002,21415
2512705,21555
2500577,19925
2516102,22233
2505105,20036
2505352,19275
2501609,19330
2510105,21032
2516151,19283
2512747,19208
2505709,20150
2516409,22292
2504157,19607
2501005,19194
2516003,22217
2503506,19712
2506004,20214
2515104,22039
2501203,19232
2509503,20915
2501500,19313
2511608,21334
2502706,19550
2515906,22195
2501104,19216
2500304,19054
2509339,19143
2500403,19070
2501906,19399
2508208,20656
2503605,19739
2508554,19160
2505204,20052
2500502,19097
2500809,19151
2509800,20974
2515930,19186
2511806,21377
2511707,21350
2505808,20176
2506301,20273
2515609,22136
2508307,20672
2506103,20230
2515807,22179
2509206,20850
2512408,21490
2504009,19810
2502151,19941
2512507,21512
2506400,20290
2507606,20532
2503803,19771
2506905,20397
2509404,20893
2513109,21636
2506806,20370
2512754,19127
2507200,20451
2509909,20990
2513158,20001
2501302,19259
2506251,19623
2517001,22411
2505238,19089
2505279,19100
2507309,20478
2504033,19062
2512721,19747
2512903,21598
2501401,19291
2508901,20796
2507101,20435
2509057,19968
2509305,20877
2511509,21318
2515005,22012
2509107,20834
2515971,19020
2507903,20591
2504900,19992
2515302,22071
2512762,19003
2514453,19046
2504603,19933
2501807,19372
2508604,20737
2503209,19658
2507507,20516
2513703,21750
2511202,21253
2500601,19119
2511905,21393
2503001,19615
2612554,23329
2607307,24457
2614303,25852
2612455,23108
2615607,26115
2605301,24058
2609907,24970
2602001,23396
2606309,24252
2601102,23213
2613503,25690
2609303,24856
2614006,25798
2612208,25437
2604304,23850
2610400,25070
2616100,26212
2603405,23671
2615706,26131
2613909,25771
2605608,24112
2612471,23043
2603900,23779
2607703,24538
2600104,23019
2613602,25712
2614402,25879
